10-01	9180	2	中国石油(601857)融资融券信息(09-30)	中国石油(601857)2016-09-30融资融券信息显示，中国石油融资余额1,199,875,445元，融券余额3,796,998元，融资买入额8,580,989元，融资偿还额30,319,043元，融资净买额-21,738,054元，融券余量525,900股，融券卖出量0股，融券偿还量182,400股，融资融券余额1,203,672,443元。中国石油融资融券详细信息如下表：交易日期代码简称融资融券余额(元)2016-09-30601857中国石油1,203,672,443融资余额(元)融资买入额(元)融资偿还额(元)融资净买额(元)1,199,875,4458,580,98930,319,043-21,738,054融券余额(元)融券余量(股)融券卖出量(股)融券偿还量(股)3,796,998525,9000182,400沪市全部融资融券数据一览 中国石油融资融券数据（来源：东方财富网 2016-10-01 07:38）	股市大忌：一涨就激动，一涨就做梦；股市谚语：抱着幻想炒股必套必亏；股市生存法则：高抛低吸，玩死主力。股市真言：见好就收，贪心必套； 铁路基建将是未来中国经济的支柱！随着国家加大对房地产政策的调整，房地产黄金十年已经过去。国家要稳增长必定加大对铁路的投资力度，2016年国家对高铁投资首超万亿元创历史新高。再加上地方对城际铁路和地铁投资的2万亿。铁路基建企业将经历辉煌的十年，业绩将爆发式增长。只有铁路基建才能支撑未来中国经济，底部重点关注以下股票：中国铁建，中国中铁，中铁二局，中国中车，中国交建，中国电建，中国建筑，宝钢股份，中煤能源，中国化学，中国联通，中国西电等等，二线低价蓝筹才是未来的股市主力军，克服恐惧，大胆买入，耐心持有，享受从低价股到高价股财产增值的乐趣，主力打压建仓是散户来之不易的低吸良机，现在不低买，等待何时？没有业绩支撑，单凭讲故事忽悠的高价题材股从哪里涨上去还会跌到哪里。‘一带一路’将是未来股市的投资主题。 
10-23	15977	3	BP联手中石油进军页岩气 与华电签百亿美元大单	　　BP联手中石油进军页岩气 与华电签百亿美元大单　　分析师表示，未来两家公司并肩发力，沿海成品油零售市场的争夺将尤为激烈　　昨日，英国石油公司(BP)与中石油继续扩大合作，就页岩气和油品销售业务达成合作协议，将在上游领域进一步加强油气资源开发，并拓展下游零售业务范围及合作模式。同时，BP还牵手中国华电共同发力清洁能源，双方签署了价值高达百亿美元的销售与购买协议。分析师表示，中石油联手BP进军页岩气体现了我国发展页岩气的紧迫性。此外，未来BP与中石油并肩发力，沿海成品油零售市场的争夺将尤为激烈。　　10月21日，《证券日报》记者从BP获悉，BP和中石油共同宣布签署一项战略合作框架协议，双方将在上游领域进一步加强油气资源开发，不断拓展下游零售业务范围及合作模式。在中国国内，双方的合作将集中在四川盆地页岩气勘探生产和油品零售业务。　　值得注意的是，页岩气是此番中石油与BP合作的另一重头戏。　　“我国急需在页岩气领域有所突破。”安迅思油气行业分析师张叶青向《证券日报》记者表示，但苦于技术、资金、人才和体制等各方面原因，当前进展非常缓慢。中石油联手BP进军页岩气也似乎体现了我国的迫切性。　　同时，随着中石油在油气改革中全产业链放开不断加速，除了民资想参与其中，外资也一直颇有兴趣。　　据中石油方面的数据显示，中石油与BP目前合资经营着500家拥有双品牌的加油站，主要分布在浙江和广东。截至今年6月底，中石油运营的加油站数量达到了20422座(自营及特许数量，不含合资)，占比22%，落后中石化较多。　　张叶青认为：“未来BP与中石油并肩发力，沿海成品油零售市场的争夺将尤为激烈。”　　除了国内相关领域的合作，BP和中石油还将在全球油品和液化天然气贸易、碳排放交易等方面探讨合作机会，并在技术和公司治理等方面分享经验。　　与此同时，BP还与中国华电签署了一份价值高达百亿美元的销售与购买协议。根据该协议，BP将向中国华电供应每年高达100万吨的液化天然气(简称“LNG”)，为期20年，总价值高达100亿美元。　　BP首席执行官戴德立表示：“这是BP与中国买方企业签署的又一长期LNG供应协议，将在促进中国能源供给多样化和经济增长中扮演重要角色。该协议的签署，在促进中国与BP、中国与英国作为全球贸易伙伴联系的同时，也帮助中国通过使用低碳燃料，实现改善空气质量，降低排放的承诺。”　　需要一提的是，近年来，中国华电以做强主业并主打清洁牌为发展战略。凭借天然气最大发电用户和分布式能源优势，公司天然气产业链的发展路径日趋显现。中国华电还搭建了油气业务发展的专业平台，成立了华电集团清洁能源有限公司，主要负责集团公司5个页岩气区块的勘探开发管理以及未来LNG接收站的投资。　　“中国华电与BP签署的LNG长协合同，既符合两家公司的共同利益，也契合两国能源发展政策。”中国华电董事长李庆奎表示，期待与BP进一步加强全方位合作，积极为能源安全、清洁能源和可持续发展作出贡献。　　卓创资讯分析师刘广彬向《证券日报》记者表示，目前国内企业谋求海外LNG资源的热情很高，一方面是由于国际油价暴跌，海外LNG资源价格随之走低，而国内非居民用天然气价格在同一时间处于高位，进口LNG有利可图。但是进口LNG往往面临接收站投资成本过高、分销困难等问题，但这对中国华电而言都不算问题，一方面企业资金实力雄厚，另一方面自有的大规模燃气发电项目完全可以作为进口的LNG资源的消化保证。（来源：证券日报 2015-10-23 01:23）	有毛用 有毛用 自己的 中国华电 需要能源发电 通过自己的 中国石油.进口中东石油 需要个英国爹分利润 .这就是合作 
10-22	5887	8	BP和中石油战略合作 与华电签百亿美元大单	　　北京时间10月22日，BP和中国石油天然气集团公司共同宣布签署一项战略合作框架协议，该协议涵盖潜在的四川盆地页岩气勘探和开发项目、拟推进的中国油品销售合资合作项目，以及其它国际合作项目等。　　同日，BP与中国华电集团也宣布签署了一份价值高达百亿美元的销售与购买协议。根据该协议，BP将向中国华电供应每年高达100万吨的液化天然气(简称“LNG”)，为期20年，总价值高达100亿美元。　　在中国国家主席习近平和英国首相卡梅伦的见证下，上述协议连同其它若干商业协议在伦敦签署。　　BP自上个世纪七十年代初开始在中国开展业务，截至2015年6月底，在华业务的累计商业投资约45亿美元，是国内油气行业领先的外商投资企业之一。BP在华的商业活动包括石化产品的生产和销售、航空燃油供应、成品油零售、润滑油业务、液化天然气接收站和输气干线以及化工技术许可。　　BP也与中方伙伴在海外展开合作。2009年6月，BP和中石油联合竞标，赢得了伊拉克战后油田项目首轮唯一一个开发许可。伊拉克鲁迈拉油田是全球最大的油田之一。　　据BP分析预测，到2035年，中国的能源产量将增加47%，能源消费量将增长60%，届时中国将成为全球最大的能源进口国。（来源：中国证券网 2015-10-22 08:40）	抄底 有毛用 抄底 有啥用，就是不涨. 不涨也没关系，别跌就行，看今天大盘都涨了，它跌！ 
10-22	3956	0	石油化工：关注十三五规划下的投资机会 推荐14股	　　十三五规划正在紧锣密鼓编制之中。据央广网财经9 月12 日消息，中国石油和化工行业“十三五规划”已在紧锣密鼓编制当中。初步方案提出，我国石油和化工行业的重点发展方向将是石化产业优化、化工新能源、化工新材料、传统化工升级四个方向。　　石化产业优化。石化产业优化和升级包括提升油品质量，化解过剩产能，到2020年炼油行业整体开工率将提高至约75%。此外，推进烯烃、芳烃、有机原料产业的原料多元化，调整原料结构。相关公司包括中国石化、中国石油、恒逸石化、浙江龙盛等。 　　传统化工升级。在我国“富煤、贫油、少气”的大背景下，未来我国传统化工产业将实现升级改造，实现原料多元化，进一步增强竞争力。相关公司包括三聚环保、丹化科技、万华化学、卫星石化等。 　　化工新能源。十三五期间，我国煤制油、煤制天然气等化工新能源产能产量规模将得以升级。相关公司包括新奥股份等公司。 　　化工新材料。化工新材料以高端聚烯烃塑料、工程塑料、特种橡胶三大重点领域为突破，带动化工新材料整体自给率由2013 年的60%提高到2020 年的80%以上。相关公司包括鼎龙股份、康得新等公司。 　　改革助力“十三五”规划。通过打破行业垄断、引入民营资本等形式改革，提升石化行业整体经营效率和活力，从而推动石化行业“十三五”规划目标的实现。 　　关注油气行业体制改革。石化行业混合所有制改革有助于改变目前部分国有企业经营效率低下、盈利能力差的局面，能够促进石化行业升级。我们认为未来油气全产业链将会逐步放宽准入条件，改革将主要体现在以下几个方面：(1)常规油气区块向民企开放；(2)油气进口权放开；(3)油气价格市场化(气价近期有望下调)。在垄断放松的同时，石化央企自身也会进行改革：(1)专业化分工、整合；(2)资产或业务的互补性重组。 　　能源价格市场化将加快推进。(1)成品油价格进一步市场化。我们认为目前10个交易日的成品油调价周期将缩短，定价进一步市场化，有助于成品油生产与销售业务盈利的稳定。(2)天然气价格近期有望下调。我们预计国内气价年内下调0.5 元/立方左右(或超过)，同时定价政策可能做出调整，如扩大门站价格浮动范围等，天然气价格市场化改革是方向。 　　重点关注上市公司。在油气行业体制改革投资主线下，我们建议关注以下公司的投资机会：中国石化(央企改革排头兵、其销售公司改革稳步推进)、泰山石油、大庆华科、山东海化(央企自身专业化整合预期)；中国石化、中国石油、上海石化、泰山石油(受益于成品油价格市场化)；陕天然气、金鸿能源(气价下调，管数量增长)；胜利股份(气价下调，天然气应用需求提升)；富瑞特装、厚普股份(气价下调，天然气设备需求增加)；四川美丰、沧州大化、云天化(化肥用气或下调). 　　风险提示：原油价格持续低迷，改革进度低于预期，煤化工升级后带来新的环保问题等。中石化旗下上市公司中石油旗下上市公司中海油旗下上市公司 　　相关概念股研究　　中国石油：低油价导致业绩大幅下滑　　中国石化：中石化攻守皆备，迎接炼化景气周期　　陕天然气：销气量增三成，中期业绩符合预期　　上海石化：中期业绩与指引相符　　泰山石油：业绩波动大，估值高低难辨（来源：海通证券 2015-10-22 08:24）	
10-22	2135	1	中国石油(601857)融资融券信息(10-21)	中国石油(601857)2015-10-21融资融券信息显示，中国石油融资余额2,232,839,002元，融券余额4,664,268元，融资买入额349,143,648元，融资偿还额347,440,754元，融资净买额2,455,572元，融券余量522,900股，融券卖出量31,700股，融券偿还量120,500股，融资融券余额2,237,503,270元。中国石油融资融券详细信息如下表：交易日期代码简称融资余额(元)融券余额(元)融资买入额(元)融资偿还额(元)融资净买额(元)融券余量(股)融券卖出量(股)融券偿还量(股)融资融券余额(元)2015-10-21601857中国石油2,232,839,0024,664,268349,143,648347,440,7542,455,572522,90031,700120,5002,237,503,270沪市全部融资融券数据一览 中国石油融资融券数据（来源：东方财富网 2015-10-22 08:10）	
10-22	4393	4	能源股涨势稍歇 滞涨板块或存机会	　　据统计显示，在9月底以来的本轮上涨中，周期类板块成为港股市场领涨先锋，能源、原材料表现尤为突出，电讯、公用事业等非周期板块则跑输大市。但近五个交易日内，能源、原材料板块涨势渐歇，一些前期滞涨的板块则走强。　　能源股涨势放缓　　统计显示，步入10月以来，恒生指数累计上涨11.83%，恒生国企指数上涨15.37%。主要行业板块中，前期表现一直垫底的能源板块成功“逆袭”，累计上涨23.23%，成为表现最好的板块，原材料、消费者服务和资讯科技板块涨幅都超过14%，紧随其后。　　据统计，本轮反弹中，恒生能源业指数的22只成分股中有18只涨幅达到两位数，其中亚美能源(02686.HK)上涨46.5%，位居首位。恒生指数成分股中涨幅居前的个股也大都来自能源板块，其中中国石油化工股份(00386.HK)上涨28.57%，中国石油股份(00857.HK)涨幅达到23.12%，昆仑能源(00135.HK)上涨25%，中国神华 (01088.HK)上涨20%，中国海洋石油 (00883.HK)上涨23%。　　不过受伊朗制裁或全面解除等消息影响，市场担忧全球原油供应将增加，国际油价反弹势头告一段落，港股能源和原材料板块近几个交易日的表现明显不及大市。统计显示，近五个交易日内，恒生原材料指数下跌1.4%，在全部行业板块中垫底，能源指数上涨1.1%，不及恒生指数1.72%的涨幅。　　滞涨板块可关注　　在能源和原材料等前期主力板块上涨动能渐失之际，本轮反弹中一直表现落后的防御类板块出现补涨迹象。近五个交易日内，公用事业板块上涨2.66%，位居全部板块之首；电讯板块位居其后，上涨2.43%，在本轮反弹中，电讯板块以4.92%的涨幅垫底。　　胜利证券分析师王冲认为，经历了上周的整固之后，港股在海外市场和A股的带动下有望继续上攻，操作上应尽量关注前期滞涨的个股。对于前期涨幅较大的个股可以逢高减持，尤其应关注受惠于国策的新能源和环保行业。　　中金公司报告看好港股市场短期表现，建议关注价值股和优质股，并指出超跌个股短期内可能有更大弹性。　　野村证券分析师在最新报告中建议第四季度减持前期领涨板块，买入滞涨板块，并指出任何市场回调都是板块调仓的机会。（来源：中国证券报 2015-10-22 03:21）	cvjg 最大迪斯尼概念，二胎概念。还汇金概念。电商概念。002615哈尔斯。将要复制特力A走势 楼上的哈二斯，你买了莫害人啥！ 山东章鼓002598，集污水处理，核电，军工，小盘，低价于一身。 600396资产注入 
10-21	2515	7	中国石油(601857)融资融券信息(10-20)	中国石油(601857)2015-10-20融资融券信息显示，中国石油融资余额2,230,383,430元，融券余额5,486,949元，融资买入额167,325,496元，融资偿还额169,953,272元，融资净买额-2,627,776元，融券余量611,700股，融券卖出量66,500股，融券偿还量7,800股，融资融券余额2,235,870,379元。中国石油融资融券详细信息如下表：交易日期代码简称融资余额(元)融券余额(元)融资买入额(元)融资偿还额(元)融资净买额(元)融券余量(股)融券卖出量(股)融券偿还量(股)融资融券余额(元)2015-10-20601857中国石油2,230,383,4305,486,949167,325,496169,953,272-2,627,776611,70066,5007,8002,235,870,379沪市全部融资融券数据一览 中国石油融资融券数据（来源：东方财富网 2015-10-21 08:12）	中美就亚投行达成共识,一路一带将大放异彩。铁路基建是中国未来十年的经济支柱，赶紧换成底部的中国铁建，中国中铁，中国中车，中国交建，中国电建，中国建筑，未来翻五倍没问题，做到真正意义的高抛低吸，铁路基建板块将是两市唯一在牛熊市中都可以持有的股票。钱是自己的，自己看着办。中美将成立高铁项目合资公司，美国的高铁项目将在2016年启动。题材股中巨量的信托资金，一旦出逃必崩盘，到时连续跌停，想跑都没门，散户们会欲哭无泪。现在高位大量庄托在唱多忽悠散户接盘，散户们要慎重啊，放弃幻想，世界上没有只涨不跌的股票，时刻准备逃命，让主力吃不完兜着走。熊市的每次反弹都是逃命的绝佳机会。 中信银行之歌（推荐稿）中信是中国的中，中信是信誉的信中信用的是国家的钱，中信经营的是人民的血汗中信不都是内鬼中信不是一滩屎，中信不是大便！ 抄底 谁在操控中石油砸盘？ 今天大盘最大跌幅为160个点，收盘报收于3320.68点，尾盘银行股强力拉升。但是个股方面跌幅超过9%的有1188家。下跌动能很强，明天早盘应还有惯性下跌。控仓位为第一要素。 
10-20	4667	7	中国石油川中龙王庙组特大气藏全面建成投产	　　上午10时，中国石油西南油气田公司磨溪净化二厂第五套、第六套含硫气净化装置开机运行，川中龙王庙组特大气藏110亿立方米工程全面成功投产运行。至此，历经三年勘探开发建设，我国最大的单体海相碳酸盐岩整装气藏-安岳磨溪区块龙王庙组气藏已全面建成投产，年产气能力已达110亿立方米。 　　安岳气田磨溪区块龙王庙组气藏位于四川盆地中部，地跨四川省、重庆市。2012年9月，中国石油西南油气田公司组织钻探磨溪8井，发现气藏。之后，地质研究、物探和钻井等勘探作业相继展开，探明天然气地质储量4403.83亿立方米，为我国迄今最大的单体海相碳酸盐岩整装气藏。 　　安岳气田磨溪区块龙王庙组气藏全面投产，大幅提升了川渝地区供气的能力，不仅为资源地稳健发展增添了动力，而且为四川经济振兴、战略性调结构稳增长增添了新的活力和新的亮点。据分析，项目投产后每年可为资源地创利5亿元以上、创税3亿元以上、增GDP10亿元以上。(完) （来源：中国新闻网 2015-10-20 13:48）	有屁用 然并卵 不把老虎苍蝇打光别想涨！ 打压指数有他份，上涨没他事。 有用，让龙王带他飞上天，解救山顶的百姓 今天儿子问我绿化贷是什么，吓我一跳，这么小的孩子就开始学习投资理财了吗？ 抄底 
10-20	6910	10	BP将与中石油签约	　　业内人士表示，英国石油公司与中国石油天然气集团公司将于本周中国国家主席习近平访英期间签署一份合作协议，在中国及其他地区合作建立合资企业等，分析称此举将会进一步加强双方的关系。　　英国石油公司可能利用这种合作关系来扩大在华运营。该公司在中国的主要上游资产是位于南中国海的“崖城13-1”气田，后者是中国最大的海上天然气田之一。它还在中国的航空燃料市场开展运营，并且是中国零售加油站网络的最大外国投资者之一。英国石油公司在中国各地运营着大约700个合资加油站。　　2009年，英国石油公司和中国石油天然气集团旗下的中国石油天然气股份有限公司赢得一份服务合同以提升伊拉克储量丰富的鲁迈拉油田的产量。鲁迈拉油田是全球第二大油田，据估计还有200亿桶可采石油储量。（来源：经济参考报 2015-10-20 11:11）	股票不涨有鸟用 宁予外邦，不予家奴 最近几天发了这么多利好股价不涨，难道是机构借机出货？ 来个涨停吧，哥请你全套双飞！ 这么好的消息，连大盘都没涨过！ 看点击率中国石油基本上没有散户了都是机构大户狗咬狗 散户都在山顶凉快那 今天签字仪式在伦敦举行，明天涨停 又不是有几千亿赚，签来说不定亏钱！ 
10-20	4885	18	全球头条：中国偏爱俄罗斯石油 日本助缅甸抗衡中国	　　新闻有国，阅读无界。10月20日，世界在关注这些事：　　No.1 彭博社：中国“偏爱”俄罗斯石油，因价格比沙特便宜沙特、俄罗斯、安哥拉三国2006年2月至2015年8月对中国石油出口走势图　　亚洲市场一直以来都是沙特阿拉伯最稳固的市场之一。日本，韩国和台湾三分之一的石油进口都来自于沙特阿拉伯。　　但是在中国，沙特的地位正在受到俄罗斯的威胁。受卢布兑美元贬值的影响，俄罗斯石油的生产成本下降。低成本使得俄罗斯石油颇具竞争力，俄罗斯5月在中国石油进口份额已经超越沙特位居第一。俄罗斯正在修建第二条通往中国的输油管道，这将在未来进一步加强俄罗斯原油在中国市场的地位。　　No.2 路透社：中国股市跌深后重现生机，重新买入股票的时刻已到新闻配图　　中国政府几个月来一直在努力，试图说服投资者重返饱受冲击的股市。现在随着资金开始回流，政府的愿望有可能变为现实。　　上证综指目前仍较6月高点低三分之一，但市场无疑已经显现恢复活力的迹象。投资者的融资交易也有重启之势，保证金交易金额连续六个交易日增加，这也是两个月以来最长的连续增长。中国的“恐惧指数”--上海交易所波动率指数下滑至六个月低位。　　“重新买回股票的时候已到，”南海基金管理的基金经理David Dai表示。在股市暴跌时期，他将资产组合中股票的比例削减至只剩10%。目前他所管理的2亿人民币(3,170万美元)基金中，股票占比达到70%，投资项目包括云计算、卫星导航与制药等行业.　　“市场回归正常。我认为目前没有任何系统性的风险，”他表示。　　No.3 纽约时报：奇怪！大众愿意召回，车主却不愿修车阴影下的大众汽车　　大众正着手修复美国近50万辆柴油车上被其关闭的排放系统，但即便在此时，他们也还要面临又一个障碍：说服车主返修车辆。　　这是因为，大众用来在联邦排放测试中作弊的软件开启时，柴油车的性能和节油性就会降低。所以，为了减少汽车的尾气排放，结果是使汽车性能下降，对车主来说，这可不是理想结果。　　“如果油耗增加了10%，我可以接受，但肯定是不高兴的，”帕特里克·当斯(Patrick Downs)说，他住在华盛顿安吉利斯港，是一辆2013年款捷达TDI车主。“如果是25%或更多，性能下降到了扭矩和加速能力都大幅降低的程度，我会很不高兴，”他说。 “那样我就会考虑不去返修了。”　　他说，“如果会影响车的性能的话，我不希望我的车被以任何方式召回或重新编程或改装，因为我花钱买的不是这样的车。”　　本月初，大众汽车公司美国区负责人迈克尔·霍恩(Michael Horn)告诉一个国会小组，他提出的维修方案将花费几年时间，并需要使用大量新设备，它可能会导致柴油车的最高速度稍有降低。但他谨慎地说，这些车的节油性不会比窗户贴纸上的数字低。　　No.4 华尔街日报：越南制造将占领全世界！劳动力价格仅为中国一半越南制衣工厂　　位于越南胡志明市南部的菠萝林和芒果林是见证全球贸易变化的好地方。现在这片广大的地方已经建起了大量的工厂。像耐克这样的西方大公司正在充分利用越南年轻且廉价的劳动力。越南劳动力价格目前仅相当于中国的一半。　　这里曾经是越南重要的农业省份，现在这些地区出现了成片的工业园区，制造业的比重正在不断上升。到今年5月，该地区已经吸引了36.7亿美元的外国投资，其中40%为服装和纺织行业。　　No.5 金融时报：习近平访英又一大单！中企向英国投20亿英镑建生物质能发电站新闻配图　　英国，由中国支持的一个最新大规模项目是威尔士的环保发电站，发电站产生的废热废气将用来养殖数千吨大虾、鱼和水栽蔬菜。　　据开发商称，这个雄心勃勃的计划将把位于安格尔西岛(Anglesey)和塔尔伯特港(Port Talbot)的废弃工业用地改造为两个“生态园”，已吸引中国20亿英镑的资金。　　这个发电能力为299兆瓦的发电站兼供热站将利用进口植物废弃物发电。电力将用于照明和家庭用电，发电产生的废热将用来为室内池塘加温，进行水产养殖和水耕栽培。　　英国奥西斯集团生态园(Orthios Eco Parks)表示，今年8月，已与中富集团(SinoFortone)签订协议，为该项目融资。安格尔西岛项目已获得规划审批，据奥西斯集团称，预计一家废弃的铝冶炼厂的所有者力拓(Rio Tinto)将在几个月内出售这块用地。　　这份声明正值中国国家主席习近平对英国展开国事访问，急于获得中国资金的英国政府正向习近平提供一份“项目购买清单”。　　No.6 英国卫报：欧央行本周预计不会调整QE规模欧央行总部大楼　　本周最重要的经济事件就是欧央行将在马耳他进行的欧央行例会。市场预计欧洲央行本周公布的央行会议纪要中将不会对其量化宽松规模进行改变。　　尽管全球经济疲软以及通胀率持续保持低位，但是市场普遍预计欧央行仍然会保持其量化宽松计划规模不变，但市场同样认为欧央行已经做好在必要情况下进一步行动的准备。众多经济学家预测欧央行在12月前不会扩大现有的量化宽松计划规模。市场预计欧央行最早要到2016年9月才会将现有量化宽松计划规模扩大到600亿欧元/月。　　No.7 CNBC:外国投资者如何看待中国经济数据？中国GDP增长走势图　　分析师在本周一对中国官方公布的GDP进行了仔细的分析，一种声音占据了他们想法。正如凯投宏观经济学家指出的：“外国投资者对中国持续稳定的GDP数据有点怀疑。不知其是否可信？”　　中国国家统计局周一上午公布中国2015年第二季度GDP增长6.9%，低于上一个季度的7%。6.9%的增速低于市场6.8%的预测，但仍然是自全球金融危机以来最低的增速。　　No.8 CNN:亚马逊起诉“刷好评”网站，一个好评卖5美金亚马逊购物网站首页　　亚马逊正在扩大其打击虚假产品评论的行动。根据亚马逊提交给西雅图法院的一份文件显示，亚马逊以出售虚假商品评论误导消费者的罪名起诉了超过1000个账户所有人。　　亚马逊在今年4月已经起诉了几家出售虚假评论的网站。之后，这些网站大部分被关闭。亚马逊表示新一轮的诉讼将针对个人账户。　　据亚马逊透露，这些虚假评论网站可以帮忙刷好评，刷一单好评收费5美金。　　No.9 日本经济新闻：日本助缅甸完善能源政策，有意抗衡中国日本首相安倍与缅甸总统　　日本政府将着手与缅甸开展能源领域的政策对话。最早将于2015年内在缅甸首都内比都召开首次会议，为缅甸政府制定能源政策以及完善相关法律等提供帮助。此举的目的是为了方便日本基础设施相关企业进驻当地而推进完善相关环境。在提供日元借款方面，日本正式决定合计提供约1000亿日元，用于仰光环状铁路的翻修以及电力设备等。　　随着经济不断发展，缅甸的电力需求正以每年2位数的速度增长。不过，由于能源基础设施匮乏，频繁停电等电力短缺状况十分严重。日本政府认为，如果敦促缅甸政府导入日本占有优势的高能源效率的煤炭火力发电设施等，日本基础设施相关企业获得订单的机会也就会随之增加。 　　在缅甸，中国获得的电力等能源基础设施相关订单正不断增加。此次召开政策对话还意在抗衡中国。 　　No.10 香港《明报》社评：英国盼黄金时代，中国期峥嵘岁月当地时间10月19日晚上，习近平抵达伦敦　　习近平今次访英，要“全方位推进中英各领域互利合作”。重点表现在文化和经贸两大领域。　　以文化领域而论，习近平在伦敦参观帝国理工学院，标志中英两国将推进高端学术研究交流；而在英国首相卡梅伦陪同下在曼彻斯特访问“城市足球集团”(City Football Group)，意味着两国将展开多层次的文体交流。　　因应英国急于经济上重振雄风，经贸合作是习近平此行的重头戏。中国目前是英国第四大贸易伙伴，英国则是中国在欧盟内第二大贸易伙伴，去年双边贸易额达808.7亿美元，按年增长15.3%。今年上半年，中英货物贸易额达367.4亿美元。英国也是中国在欧盟的第一大投资目的国，伦敦已成为香港以外境外最大的人民币交易中心。　　中方虽表态欢迎英国继续加大对华投资力度，但中英经贸合作，习近平此行的亮点将是中资进入英国市场，在参与英国的基础设施改造升级规划、英格兰北部经济中心计划等方面，中国将提出多方面产业合作，其中受到普遍关注的是核电、高铁项目，以及在人民币国际化大背景下的中英金融合作。北京放手在英国发行人民币债券，令伦敦成为又一人民币离岸市场，已有眉目。国际新闻阅读&gt;&gt;&gt;【热点大追踪】外资再次精准抄底A股的背后原因 | 中国让美国下不了台【国际之必读】沙特王室宫斗：5000多继承者堪比九子夺嫡 |买A股良机【全球新经济】罗杰斯：买A股 看好长期走势 | 又一国家股市将进入熊市【中国与世界】外媒:中国股市全球独一无二 | A股将上涨至无法想象的水平【投行解疑惑】高盛给出了A股新的目标位| 能红多久？投行买悄悄入7只股（来源：凤凰网 2015-10-20 09:31）	全球博弈 俄罗斯在叙利亚作战的目的是联合伊朗、伊拉克，抬高油价。所以，中国不要帮倒忙。 现在的市场回归正常就是天天在洗盘，没完没了地再寻底！！！ 逢低挺进-王的 女人@600256广汇能源 王 的 女人出身名门娇容丽养在深闺人未识证金重仓已挺进季报公布定有戏默默无闻未表演逢低进入正当时别说哥未告诉你一骑绝尘枉叹息。。。 比喻的很好，但是不合常理，王的女人你去动，小心你的命根子 竞争博弈加剧 当时，缅甸是英国殖民地，昂山素季父亲是抵抗主义头领，求助日本解放无可非议。（就事论事） 002598山东章鼓，污水处理，核电，军工，多题材小盘绩优，低价股，火速布局。 收回果敢。 面甸是傻逼，呵呵。 看到文章来至凤凰网，我就果断，呵呵了。绝对唱空中国的汉奸网 无利而不往，谁叫人家穷呢 中国的远征军都白死了 分析师在本周一对中国官方公布的GDP进行了仔细的分析，一种声音占据了他们想法。正如凯投宏观经济学家指出的：“外国投资者对中国持续稳定的GDP数据有点怀疑。不知其是否可信？”　　中国国家统计局周一上午公布中国2015年第二季度GDP增长6.9%，低于上一个季度的7%。6.9%的增速低于市场6.8%的预测，但仍然是自全球金融危机以来最低的增速。低于 市场预测 的 6.8%？？？为了 黑 中国 已经是不择手段了。 传谣也是犯法的 85美元一桶买的签了那么多年好意思！赔死你——猪头！…… 缅甸gou暂时还没有这个能力 
10-20	2250	2	中国石油(601857)融资融券信息(10-19)	中国石油(601857)2015-10-19融资融券信息显示，中国石油融资余额2,233,011,206元，融券余额4,921,700元，融资买入额209,653,941元，融资偿还额223,418,364元，融资净买额-13,764,423元，融券余量553,000股，融券卖出量1,000股，融券偿还量12,300股，融资融券余额2,237,932,906元。中国石油融资融券详细信息如下表：交易日期代码简称融资余额(元)融券余额(元)融资买入额(元)融资偿还额(元)融资净买额(元)融券余量(股)融券卖出量(股)融券偿还量(股)融资融券余额(元)2015-10-19601857中国石油2,233,011,2064,921,700209,653,941223,418,364-13,764,423553,0001,00012,3002,237,932,906沪市全部融资融券数据一览 中国石油融资融券数据（来源：东方财富网 2015-10-20 08:11）	中美就亚投行达成共识,一路一带将大放异彩。铁路基建是中国未来十年的经济支柱，赶紧换成底部的中国铁建，中国中铁，中国中车，中国交建，中国电建，中国建筑，未来翻五倍没问题，做到真正意义的高抛低吸，铁路基建板块将是两市唯一在牛熊市中都可以持有的股票。钱是自己的，自己看着办。观 察 员：据外媒报道，中美将成立高铁项目合资公司，将达成美国高铁项目的协议，美国的高铁项目将在2016年启动。国家规定：10月底场外信托配资必须清场，题材垃圾股中巨量的信托资金没有逃出去，一旦出逃必崩盘补跌，到时连续跌停，想跑都没门了，散户们会欲哭无泪。现在高位大量庄托在唱多忽悠散户接盘，散户们要慎重啊，放弃幻想，世界上没有只涨不跌的股票，时刻准备逃命，让主力吃不完兜着走。。现在主力出不完货，正在死扛，下托上卖，无论主力还是散户，和大势抗衡的结果会死的很惨。熊市的每次反弹都是逃命的绝佳机会。 
